,1,4,16,64
0,1.0,-1.0,-1.0,2.0
1,0.0,1.0,1.0,-1.0
2,1.0,0.0,-2.0,-1.0
3,-2.0,0.0,0.0,0.0
4,1.0,0.0,2.0,1.0
5,0.0,1.0,0.0,-2.0
6,0.0,-2.0,1.0,0.0
7,0.0,-1.0,0.0,-1.0
8,0.0,1.0,0.0,0.0
9,2.0,0.0,0.0,-1.0
10,0.0,-2.0,0.0,-1.0
11,2.0,0.0,-1.0,0.0
12,2.0,-1.0,0.0,-1.0
13,-1.0,0.0,2.0,0.0
14,1.0,-1.0,0.0,0.0
15,1.0,-1.0,-1.0,3.0
16,1.0,1.0,0.0,-1.0
17,0.0,-1.0,0.0,0.0
18,1.0,-1.0,0.0,-2.0
19,0.0,2.0,0.0,0.0
20,-1.0,0.0,1.0,0.0
21,-1.0,1.0,0.0,0.0
22,1.0,0.0,0.0,-1.0
23,1.0,0.0,0.0,0.0
24,3.0,-1.0,0.0,0.0
25,1.0,0.0,2.0,-1.0
26,2.0,2.0,0.0,-1.0
27,-3.0,0.0,1.0,0.0
28,0.0,2.0,1.0,0.0
29,-1.0,1.0,-1.0,2.0
30,2.0,1.0,1.0,1.0
31,0.0,0.0,0.0,0.0
32,-1.0,2.0,0.0,0.0
33,-1.0,0.0,2.0,0.0
34,-1.0,0.0,0.0,0.0
35,0.0,0.0,1.0,-1.0
36,-1.0,2.0,-1.0,0.0
37,2.0,1.0,0.0,0.0
38,1.0,1.0,1.0,0.0
39,3.0,1.0,1.0,0.0
40,1.0,1.0,0.0,-1.0
41,1.0,-1.0,1.0,0.0
42,1.0,0.0,1.0,0.0
43,0.0,0.0,0.0,0.0
44,1.0,1.0,0.0,1.0
45,1.0,1.0,-1.0,0.0
46,0.0,1.0,0.0,0.0
47,2.0,0.0,0.0,-1.0
48,1.0,1.0,1.0,1.0
49,4.0,0.0,3.0,1.0
50,-1.0,-1.0,4.0,0.0
51,2.0,1.0,0.0,1.0
52,1.0,0.0,-2.0,1.0
53,3.0,-1.0,1.0,1.0
54,-2.0,0.0,2.0,-1.0
55,0.0,3.0,-1.0,-2.0
56,-1.0,3.0,3.0,1.0
57,0.0,-1.0,-1.0,2.0
58,2.0,0.0,2.0,1.0
59,-1.0,3.0,0.0,2.0
60,1.0,1.0,2.0,-1.0
61,3.0,2.0,5.0,-2.0
62,1.0,3.0,0.0,-1.0
63,2.0,3.0,3.0,2.0
64,2.0,0.0,2.0,1.0
65,-1.0,1.0,2.0,0.0
66,0.0,3.0,3.0,-1.0
67,3.0,0.0,2.0,0.0
68,1.0,5.0,0.0,-2.0
69,3.0,1.0,3.0,0.0
